CODIGO ANTERIOR,CODIGO GRUPO,CODIGO SUBGRUPO,CODIGO,EXISTENCIA,ultimo costo,ult pcio venta,ult. Precio compra,precio base
1010180,1,1,183,0.6200,720.2742,806.7071,806.7239,1278.2
1020079,1,1,184,354.2440,79.3036,88.82,88.8247,16
1010109,1,1,185,68.3360,26.9286,30.16,30.1621,6
1010146,1,1,186,181.1540,22.8571,25.6,25.6,4.36
1010110,1,1,187,7.5000,264.4373,296.1698,296.1668,58
1010111,1,1,188,223.6670,104.3393,116.86,116.8586,25
1020061,1,1,189,3.0440,315.2825,353.1164,353.1189,103
1020009,1,1,190,120.8610,482.1249,539.9799,565.6369,104
1010133,1,1,191,103.6970,123.0089,137.7699,138.3912,37
1010181,1,1,192,0.0000,0.0000,0,0,0
1010123,1,1,193,0.1000,19.4000,21.728,21.8,6.1
1010113,1,1,194,225.7290,212.7232,238.25,238.2541,46
1010114,1,1,195,357.9730,26.0714,29.2,29.2045,5.8
1010116,1,1,196,11.1850,128.7582,144.2091,144.2063,31
1010117,1,1,197,542.5560,97.2321,108.9,108.9006,23.5
1010118,1,1,198,0.0000,0.0000,0,132.2806,0
1010119,1,1,199,0.0000,0.0000,0,167.3518,0
1020066,1,1,200,0.0000,0.0000,0,0,0
1010218,1,1,201,54.2790,1076.3214,1205.48,1204.7247,224
1020064,1,1,202,207.3900,521.4375,584.01,584.2267,127
1010285,1,1,203,8788.1500,19.3125,21.63,21.625,11.55
1010253,1,1,204,263.0450,111.5625,124.95,124.9508,86
1010401,1,1,205,2000.0000,21.7768,24.39,24.3868,5
1010120,1,1,206,75.1250,322.6785,361.3999,361.4033,86
1020200,1,2,1,0.0000,0.0000,0,0,0
1010362,1,2,2,0.0000,0.0000,0,0,0
1010164,1,2,3,194.7150,22.3214,25,25,6.5
1020185,1,2,4,0.0000,0.0000,0,0,0
1020186,1,2,5,0.0000,0.0000,0,0,0
1020001,1,2,6,385.2000,8.9732,10.05,10,4.38
1020201,1,2,7,0.0000,0.0000,0,0,0
1020005,1,2,8,110.4500,15.1249,16.9399,17.0131,4.45
1020194,1,2,9,0.0000,0.0000,0,0,0
1020006,1,2,10,3413.0340,11.1607,12.5,12.5,2.8
1010368,1,2,11,55.0000,3.2142,3.5999,3.6,1.04
1020007,1,2,12,328.3240,11.6071,13,13,4.76
1020008,1,2,13,2506.9600,7.4107,8.3,8.3,1.81
1020012,1,2,14,0.4000,18.1250,20.3,20.3103,5
